Variable,Scenario,Increment,Direction,Area,N_Cells,Avg_Var_Change,Direct_Delta_Mean,Indirect_Delta_Mean,Total_Delta_Mean,Total_Delta_Std,DAG_Global_Delta,MGWR_Coeff_Mean,Lit_Per_Unit,Coeff_Source,Physics_Lit_Coeff,Physics_Direction
Pct_Canopy,Pct_Canopy_plus_5,5.0,increase,All,54701,4.830097621615693,-0.1070549065812092,-0.02301609703151742,-0.1300710036127266,0.07792868054068892,-0.23412299707377315,-0.0007383043350737696,-0.028000000000000004,mgwr_causal_anchored,-0.28,cooling
Pct_Canopy,Pct_Canopy_plus_10,10.0,increase,All,54701,9.597928191440742,-0.2127304820699197,-0.04566484225791905,-0.25837301428644177,0.15427539476294724,-0.4682459941475463,-0.0007383043350737696,-0.028000000000000004,mgwr_causal_anchored,-0.28,cooling
Pct_Canopy,Pct_Canopy_plus_15,15.0,increase,All,54701,14.299299098736768,-0.35976129769159343,-0.07726381834097876,-0.43681212121240465,0.25072688053577025,-0.7023689912213193,-0.0007383043350737696,-0.028000000000000004,mgwr_causal_anchored,-0.28,cooling
Pct_Canopy,Pct_Canopy_plus_20,20.0,increase,All,54701,18.926760753916746,-0.41937600441355444,-0.09009523613921962,-0.5091129822925755,0.2884489818593624,-0.9364919882950926,-0.0007383043350737696,-0.028000000000000004,mgwr_causal_anchored,-0.28,cooling
Pct_Canopy,Pct_Canopy_plus_25,25.0,increase,All,54701,23.47158223798468,-0.46422282088769445,-0.09974575709683003,-0.5635198150618907,0.31701735734026676,-1.1706149853688659,-0.0007383043350737696,-0.028000000000000004,mgwr_causal_anchored,-0.28,cooling
Pct_Canopy,Pct_Canopy_plus_30,30.0,increase,All,54701,27.92665417451235,-0.5012487672069933,-0.1077018861394114,-0.6084235497327001,0.340753837216344,-1.4047379824426387,-0.0007383043350737696,-0.028000000000000004,mgwr_causal_anchored,-0.28,cooling
Pct_Canopy,Pct_Canopy_plus_35,35.0,increase,All,54701,32.27529972029762,-0.5330809064621972,-0.11454054989042434,-0.6469830193035915,0.3611907085673077,-1.638860979516412,-0.0007383043350737696,-0.028000000000000004,mgwr_causal_anchored,-0.28,cooling
Pct_Canopy,Pct_Canopy_plus_40,40.0,increase,All,54701,36.51496206650701,-0.5611247831485316,-0.12056118563171908,-0.6808149989833624,0.37860294140019235,-1.8729839765901852,-0.0007383043350737696,-0.028000000000000004,mgwr_causal_anchored,-0.28,cooling
Pct_Canopy,Pct_Canopy_plus_45,45.0,increase,All,54701,40.63071241842013,-0.5861021549850873,-0.1259328549354794,-0.7109088357577391,0.3938773253191935,-2.1071069736639583,-0.0007383043350737696,-0.028000000000000004,mgwr_causal_anchored,-0.28,cooling
Pct_Canopy,Pct_Canopy_plus_50,50.0,increase,All,54701,44.60838887771704,-0.6085048434560975,-0.13076402468251128,-0.7379160647856756,0.4076097899439204,-2.3412299707377318,-0.0007383043350737696,-0.028000000000000004,mgwr_causal_anchored,-0.28,cooling
