OBJECTID,AAT_z,Pct_Canopy,Pct_Impervious,Distance_from_water_m,Elevation_m,POINT_X,POINT_Y,NDVI,Albedo,Location
18295,85.93,34.55,0,117.52,12.08,351184.35,251624.86,0.373613685,0.433250889,0
59298,85,83.03,36.43,0,10.39,352267.02,251624.86,0.317641377,0.371341929,0
44540,85,24.67,0,0,8,352168.6,251624.86,0.201716274,0.328177102,0
52549,85.11,37.84,0,0,8.13,351971.75,251624.86,0.230797827,0.333094932,0
54535,85,93.27,0,0,8.7,351774.9,251624.86,0.291109532,0.370203592,0
59709,85,61.45,18.74,0.43,8.51,351676.47,251624.86,0.291009426,0.404545963,0
35468,85,53.16,34.55,37.35,8.8,351479.62,251624.86,0.311141342,0.422404595,0
42937,85.26,24.36,0,95.18,10.8,351282.77,251624.86,0.360441625,0.426867604,0
50028,86,61.96,40.85,107.36,12.68,351088.03,251626.99,0.291908443,0.416377746,0
42467,85.15,31.36,21.47,89.93,17.97,352622,251634.23,0.289588869,0.403256565,0
55026,86,1.68,85.31,104.84,13.68,351014.01,251651.59,0.237486318,0.402071439,0
54091,86,73.22,66.37,78.33,13.78,351085.92,251723.29,0.301380277,0.398993045,0
56150,85,27.86,49.09,51.31,18.15,352562.3,251723.29,0.264645785,0.410132334,0
4830,85.4,100,0,91.77,12.48,351184.35,251723.29,0.393817961,0.41992262,0
46503,85,85.29,17.1,2.56,8.65,351578.05,251723.29,0.330072314,0.40050555,0
47305,85,79.13,46.12,0,12.92,352365.45,251723.29,0.316277117,0.377105884,0
39020,85,39.4,0.17,62.56,9.31,351381.2,251723.29,0.39892298,0.439019688,0
59506,85,46.2,39.74,23.08,16.26,352463.87,251723.29,0.323677897,0.411908738,0
49297,85,43.95,0,0,8.2,352267.02,251723.29,0.204044789,0.325453207,0
49149,85,0,0,0,8,351971.75,251723.29,0.050360855,0.269893259,0
45541,85,5.22,0,0,8,351774.9,251723.29,0.15163143,0.298001785,0
39463,85,68.91,0,0,8.17,351676.47,251723.29,0.283801466,0.361817554,0
45912,85,83.02,37.09,32.56,8.94,351479.62,251723.29,0.351259172,0.41478157,0
60010,85,64.91,0,92.56,10.75,351282.77,251723.29,0.417765975,0.440775715,0
58892,86,8.61,81.61,74.84,13.92,350989.58,251725.38,0.194252178,0.39323777,0
58896,85.22,10.12,76.67,79.77,18.32,352630.96,251727.42,0.22257936,0.402457379,0
40936,86,0.45,75.51,75.15,14.99,350917.82,251750.31,0.162500784,0.398452766,0
12175,85.6,27.39,81.24,50.44,13.34,351085.92,251821.71,0.297709316,0.399472155,0
10154,85,10.39,34.7,43.56,17.51,352562.3,251821.71,0.285686404,0.414685458,0
45181,85.01,100,17.34,69.17,12.23,351184.35,251821.71,0.383709371,0.40874932,0
3702,85,100,0,5.33,9.07,351578.05,251821.71,0.398495406,0.406378657,0
27969,85,87.95,0.69,0,9.82,352365.45,251821.71,0.263195068,0.351142772,0
48246,84.94,26.77,44.22,63.01,9.66,351381.2,251821.71,0.371463776,0.422182195,0
17771,85,23.64,49.64,14.08,15.67,352463.87,251821.71,0.333418548,0.419789143,0
55442,85,0.26,0,0,8,352267.02,251821.71,0.090780392,0.289338939,0
43569,85,69.28,0,0,8.24,351676.47,251821.71,0.311083704,0.363105051,0
53959,84.47,89.39,11.1,33.41,8.98,351479.62,251821.71,0.392747402,0.414676554,0
59900,85,99.08,0.13,81.84,10.12,351282.77,251821.71,0.405228466,0.431584865,0
58462,86,46.36,79.36,44.84,13.87,350987.5,251821.71,0.229934737,0.399226807,0
57944,86,9.27,83.44,45.36,14.14,350891.82,251824.51,0.194146886,0.402565785,0
59867,85.18,40.83,72.88,73.19,18.9,352641.33,251824.73,0.264450163,0.4002323,0
47373,86,0,84.64,56.91,14.94,350817.73,251850.01,0.186534092,0.398689285,0
49786,85.82,23.95,78.36,14.84,13.13,350987.5,251920.14,0.265915453,0.411607958,0
47180,85.01,64.84,48.98,26.74,13.1,351085.92,251920.14,0.334606171,0.409503952,0
57973,85,47.54,23.1,40.62,17.2,352562.3,251920.14,0.304582596,0.417486019,0
58991,85,100,1.31,51.74,14.7,351184.35,251920.14,0.401547194,0.412573926,0
37036,84.7,86,0,14.96,16.13,351578.05,251920.14,0.425833941,0.415450707,0
11246,85,81.88,0,0,8.5,352365.45,251920.14,0.260508001,0.338228606,0
31192,84.2,91.48,18.54,52.85,12.57,351381.2,251920.14,0.364790827,0.402689315,0
58953,85,43.55,33.85,10.62,14.78,352463.87,251920.14,0.370373487,0.42284891,0
55673,84.99,87.34,0,0,9.61,351676.47,251920.14,0.339904249,0.374155678,0
50112,84.27,97.64,0,42.82,15.82,351479.62,251920.14,0.417363852,0.415901542,0
54788,84.82,90.26,18.02,51.84,13.15,351282.77,251920.14,0.388628542,0.413605347,0
58295,86,34.74,57.66,16.19,13.7,350889.07,251920.14,0.235062987,0.406531505,0
35998,86,0,79.57,35.96,13.66,350792.69,251922.22,0.195046887,0.403941125,0
54088,85.14,70.26,47.59,70.62,18.64,352652.09,251922.35,0.30084303,0.399305336,0
56048,86,0.01,77.66,43.51,13.47,350717.12,251946.22,0.210483611,0.40876396,0
36623,86,7.32,71.38,0,12.95,350889.07,252018.56,0.299893141,0.419819169,0
54308,86,22.03,79.16,11.71,13.41,350790.65,252018.56,0.28947112,0.417398513,0
8718,85.25,82.8,33.42,0,12.61,350987.5,252018.56,0.332616419,0.403012037,0
59049,85,10.2,34.86,40.67,17.06,352562.3,252018.56,0.301159561,0.425125882,0
44887,85,100,0,13.07,15.09,351085.92,252018.56,0.394437313,0.407234021,0
51575,84,99.65,0,2.34,15.68,351578.05,252018.56,0.39662087,0.398467332,0
30350,84.73,94.21,0,0,8.85,352365.45,252018.56,0.32758224,0.36058031,0
56552,84,78.06,34.45,23.73,15.18,351381.2,252018.56,0.366068423,0.393463969,0
50789,84.99,55.77,4.95,10.68,15.65,352463.87,252018.56,0.392515689,0.427740104,0
55017,84,56.21,0,0,8.7,351676.47,252018.56,0.290468574,0.350575484,0
45917,84.07,99.51,0,30.9,18.4,351479.62,252018.56,0.381771833,0.398215726,0
20621,84.08,99.04,7.21,21.84,13.59,351282.77,252018.56,0.40491271,0.410319343,0
46367,84.9,100,0,28.77,14.99,351184.35,252018.56,0.432038426,0.419784822,0
52756,85.15,18.42,69.86,70.66,18.23,352660.2,252019,0.277080864,0.41123651,0
58121,86,73.88,49.49,13.76,13.82,350693.49,252019.85,0.314446568,0.405728407,0
19766,86,8.89,79.11,30.55,12.28,350614.34,252043.15,0.339846671,0.405285508,0
55681,86,37.86,29.46,100.65,17.89,352714.88,252045.39,0.311428905,0.412302166,0
20312,86,84.55,34.35,0,12.95,350692.22,252116.99,0.365309298,0.399349667,0
55482,85.05,45.06,59.73,74.46,17.47,352660.72,252116.99,0.291319102,0.420009643,0
55306,86,98.7,4.85,0,10.97,350790.65,252116.99,0.310143113,0.376704671,0
58175,85.64,55.97,0.38,0,9.64,350889.07,252116.99,0.263226449,0.362165012,0
51805,85,46.57,0,0,8.32,350987.5,252116.99,0.228481814,0.333216116,0
47614,85,93.57,0,0,10.64,351085.92,252116.99,0.31928736,0.357011892,0
17395,84.73,100,0,0,10.88,351282.77,252116.99,0.418661594,0.411142334,0
58526,84,100,0,0,11.86,351578.05,252116.99,0.380039006,0.394427068,0
