Distance_from_water_m,Pct_Impervious,Pct_Canopy,NDVI,Albedo,Elevation_m,POINT_X,POINT_Y
2.8492697122429895,0.22839226983624927,0.0,0.0,0.0,-0.7559168996448397,352147.7,251154.63
3.0359398484621565,0.2599445597780555,0.0,0.0,0.0,-0.8533676171921278,351983.15,251161.63
3.0690055871279824,0.25446600766562605,0.0,0.0,0.0,-0.8581821836266523,351915.24,251178.41
2.8970520780714764,0.24587850602754183,0.0,0.0,0.0,-0.7962261857241137,352070.17,251231.16
3.036627025908472,0.2598401134725724,0.0,0.0,0.0,-0.8532306479901458,351971.75,251231.16
2.7594746163645625,0.23308265462543382,0.0,0.0,0.0,-0.7435584906992205,352168.19,251231.57
3.0573481153731783,0.2563829811197982,0.0,0.0,0.0,-0.8575139120390618,351877.08,251237.06
2.7161949241272993,0.23592470482190261,0.0,0.0,0.0,-0.7318437866194119,352247.32,251251.9
3.161361426137626,0.2502181736328231,0.0,0.0,0.0,-0.8747172460025178,351781.01,251256.5
3.2659993304212094,0.24337306000870115,0.0,0.0,0.0,-0.9073352013196365,351681.89,251267.98
3.3249284508503747,0.23952009353869474,0.0,0.0,0.0,-0.8995587407867993,351598.6,251274.79
3.264756566915128,0.24219154933176046,0.0,0.0,0.0,-0.9028790559829366,351676.47,251329.59
2.7434702301908866,0.23303819407849988,0.0,0.0,0.0,-0.737458222321034,352168.6,251329.59
3.1742503151091728,0.2540860985017786,0.0,0.0,0.0,-0.8881175662290993,351774.9,251329.59
2.8342711365314495,0.24845897503588063,0.0,0.0,0.0,-0.7841569624853651,352070.17,251329.59
3.0483837626989505,0.2589606136385208,0.0,0.0,0.0,-0.8597027681951707,351873.32,251329.59
2.9736755689385492,0.26582895092866227,0.0,0.0,0.0,-0.8449002932153351,351971.75,251329.59
3.3254186680806805,0.23944060025639,0.0,0.0,0.0,-0.8993593316896875,351578.17,251329.72
2.5802494517751846,0.24036691464728738,0.0,0.0,0.0,-0.7108216356300259,352266.8,251329.81
3.234372981770299,0.24407951418233942,0.0,0.0,0.0,-0.854106810803317,351482.01,251336.79
2.3766726768940187,0.24907218266230205,0.0,0.0,0.0,-0.6733764891438433,352346.94,251349.17
3.076444175464178,0.24684626399399148,0.0,0.0,0.0,-0.7840092294832423,351387.42,251351.59
2.9973555717017555,0.24760278652203202,0.0,0.0,0.0,-0.7139007891595001,351313.37,251367.71
3.1355047489574486,0.24738188371672934,0.0,0.0,0.0,-0.8024631385026767,351381.2,251428.01
2.446980082005087,0.24671529522748623,0.0,0.0,0.0,-0.6896632561378004,352267.02,251428.01
3.315974415091176,0.24354619936707422,0.0,0.0,0.0,-0.8970961819173708,351578.05,251428.01
2.7315200279989935,0.25099599824479324,0.0,0.0,0.0,-0.7616657705811053,352070.17,251428.01
3.050057185795493,0.2588939174018371,0.0,0.0,0.0,-0.8598109830945525,351873.32,251428.01
2.704480269417652,0.23020093483909834,0.0,0.0,0.0,-0.7311001157923961,352168.6,251428.01
2.878260603378988,0.26785129260986207,0.0,0.0,0.0,-0.8215562331438032,351971.75,251428.01
3.1393909283226455,0.2577236525019295,0.0,0.0,0.0,-0.882971728637596,351774.9,251428.01
3.265240939347367,0.2467031309672215,0.0,0.0,0.0,-0.9053820302006039,351676.47,251428.01
3.2382939599358918,0.24638371712923354,0.0,0.0,0.0,-0.8473612469521937,351479.62,251428.01
2.161649068250315,0.26125121151487984,0.0,0.0,0.0,-0.6520756214897289,352365.36,251428.11
2.9975482881414055,0.24783494136567355,0.0,0.0,0.0,-0.7052711120835858,351285.9,251431.48
1.8613018316299381,0.27278784813767143,0.0,0.0,0.0,-0.6123055669732583,352446.64,251446.43
2.919328263419308,0.2518266376501199,0.0,0.0,0.0,-0.6540411890318146,351212.34,251456.56
3.032692071063261,0.26053587410975887,0.0,0.0,0.0,-0.6979343386937232,351282.77,251526.44
1.9949727041761505,0.2690733526364903,0.0,0.0,0.0,-0.6332245572253984,352365.45,251526.44
3.255104368966653,0.24770289717040697,0.0,0.0,0.0,-0.8808319190492687,351578.05,251526.44
2.713977160483079,0.2518106531013351,0.0,0.0,0.0,-0.7571988051544712,352070.17,251526.44
2.955550946667499,0.26790646201264295,0.0,0.0,0.0,-0.8492689794648008,351873.32,251526.44
3.1995704172084487,0.25331995716695355,0.0,0.0,0.0,-0.8167009776051978,351381.2,251526.44
2.365671294354147,0.253590984828298,0.0,0.0,0.0,-0.6761281264342862,352267.02,251526.44
2.5906954167487433,0.23716778829970245,0.0,0.0,0.0,-0.7169394264832101,352168.6,251526.44
2.790285987406198,0.2753053990138306,0.0,0.0,0.0,-0.8111640922660034,351971.75,251526.44
3.134678951413991,0.2575246147301776,0.0,0.0,0.0,-0.8836681258403603,351774.9,251526.44
3.1894296360576546,0.2600272025145155,0.0,0.0,0.0,-0.895421188837743,351676.47,251526.44
3.2247647983856154,0.25041384856579785,0.0,0.0,0.0,-0.848490953478862,351479.62,251526.44
1.6850755254148395,0.2754497073375983,0.0,0.0,0.0,-0.5875878556292016,352463.86,251526.45
2.87879548024922,0.2657414793894081,0.0,0.0,0.0,-0.6067744839456416,351186.78,251528.89
1.3959477836996093,0.30238659224694553,0.0,0.0,0.0,-0.550805991354104,352546.15,251543.68
2.8114479112417143,0.26511872771632566,0.0,0.0,0.0,-0.5136967218396017,351113.04,251554.13
1.2412602147287928,0.3077285300558997,0.0,0.0,0.0,-0.5102354379057058,352611.77,251575.4
1.3241175563027197,0.30183163604275376,0.0,0.0,0.0,-0.5281387944303367,352562.3,251624.86
1.5540454087500604,0.28688581328997775,0.0,0.0,0.0,-0.5778910148611586,352463.87,251624.86
3.2374882943770267,0.2518060987466022,0.0,0.0,0.0,-0.8790488921888574,351578.05,251624.86
1.823137107300272,0.27566698169362286,0.0,0.0,0.0,-0.6129445552210129,352365.45,251624.86
2.685249912486633,0.24913236802302693,0.0,0.0,0.0,-0.7583209219489581,352070.17,251624.86
2.931496669369643,0.26922080340479043,0.0,0.0,0.0,-0.8405632434263538,351873.32,251624.86
3.189185686000711,0.2647114685829781,0.0,0.0,0.0,-0.7761428212931072,351381.2,251624.86
2.860608074088528,0.2702666420586658,0.0,0.0,0.0,-0.6099676058124096,351184.35,251624.86
2.137421570141049,0.26908079170628885,0.0,0.0,0.0,-0.6558325808902152,352267.02,251624.86
2.4686257233817,0.241766638074664,0.0,0.0,0.0,-0.6954971711243401,352168.6,251624.86
2.7594100799569965,0.27432671448407825,0.0,0.0,0.0,-0.80279151366615,351971.75,251624.86
3.098251597485142,0.25779828538230365,0.0,0.0,0.0,-0.87323861968426,351774.9,251624.86
3.204576786622306,0.2593242922554196,0.0,0.0,0.0,-0.8913941741885058,351676.47,251624.86
3.2215502011777177,0.25498851213866386,0.0,0.0,0.0,-0.8518578146225675,351479.62,251624.86
3.0261354582884183,0.2700314629802719,0.0,0.0,0.0,-0.6998657966519581,351282.77,251624.86
2.78275383039215,0.273617028391595,0.0,-0.0024697640543653956,0.0,-0.46745588419753736,351088.03,251626.99
1.1313392890132745,0.3140120757117571,0.0,0.0,0.0,-0.4857015376449307,352622.0,251634.23
2.7313523470017342,0.2699706071529523,0.0,-0.01039568228934912,0.0,-0.36461598385694005,351014.01,251651.59
2.7589434749425,0.2767845230076245,0.0,-0.012222575303828196,0.0,-0.3953690663730677,351085.92,251723.29
1.1040927682962525,0.314500453116748,0.0,0.0,0.0,-0.4825786808355049,352562.3,251723.29
2.8744281709170734,0.2785600063978737,0.0,0.0,0.0,-0.5627378283307352,351184.35,251723.29
3.1751726979394252,0.2648618580636043,0.0,0.0,0.0,-0.8717931706535654,351578.05,251723.29
1.676191921571747,0.2808732286181369,0.0,0.0,0.0,-0.5949486080108282,352365.45,251723.29
3.1722566054183385,0.26522799034151756,0.0,0.0,0.0,-0.769479412897931,351381.2,251723.29
1.339381288685517,0.3000611284186877,0.0,0.0,0.0,-0.5366413302106403,352463.87,251723.29
1.8726746987761531,0.2845902486107217,0.0,0.0,0.0,-0.6245141400449953,352267.02,251723.29
2.7214608693509064,0.27717379045517015,0.0,0.0,0.0,-0.7981178909233212,351971.75,251723.29
3.010338797393331,0.2653187785335472,0.0,0.0,0.0,-0.8614738097557217,351774.9,251723.29
3.2406932721384223,0.2612151017708114,0.0,0.0,0.0,-0.9057426813472848,351676.47,251723.29
3.207792933595411,0.26634006613107764,0.0,0.0,0.0,-0.8423892284194292,351479.62,251723.29
3.0548577236004353,0.27388744704166684,0.0,0.0,0.0,-0.6843511792493233,351282.77,251723.29
2.685382024533863,0.2749462401163797,0.0,-0.017503612568516666,0.0,-0.2945718087887403,350989.58,251725.38
0.9638948643506439,0.3160080159894464,0.0,0.0,0.0,-0.433592783380643,352630.96,251727.42
2.6633899049196184,0.2664175289443566,0.0,-0.022930502719101742,0.0,-0.22756995919321624,350917.82,251750.31
2.777784373653111,0.2733171790200093,0.0,-0.015519634381859652,0.0,-0.38284305020859943,351085.92,251821.71
0.9698667299123831,0.31936794747449837,0.0,0.0,0.0,-0.44325402259432467,352562.3,251821.71
2.955312071866752,0.2711015524385062,0.0,-0.0034217882941664987,0.0,-0.5393107663651047,351184.35,251821.71
3.166554011786264,0.26575638648417904,0.0,0.0,0.0,-0.8733952171217826,351578.05,251821.71
1.4931271426081598,0.28900725135769,0.0,0.0,0.0,-0.5651675475245647,352365.45,251821.71
3.1687981769510882,0.26523679067021116,0.0,0.0,0.0,-0.7685336067006578,351381.2,251821.71
1.1554842447196714,0.31382004749523285,0.0,0.0,0.0,-0.4960449801926603,352463.87,251821.71
1.7582763122074214,0.29031807652460134,0.0,0.0,0.0,-0.620079728865499,352267.02,251821.71
3.212438213522852,0.2622293447698158,0.0,0.0,0.0,-0.9015835539836612,351676.47,251821.71
3.1625662430122525,0.2713871404910267,0.0,0.0,0.0,-0.8285756797558651,351479.62,251821.71
3.0876271694626687,0.27121084260493006,0.0,0.0,0.0,-0.6694566025800393,351282.77,251821.71
2.6953901838263405,0.27180427148491887,0.0,-0.0195580991726034,0.0,-0.27816966696907613,350987.5,251821.71
2.615468220431008,0.2676458347498166,0.0,-0.024400484985195633,0.0,-0.1761795658138568,350891.82,251824.51
0.9253217310009688,0.31132186856470706,0.0,0.0,0.0,-0.42169424515831894,352641.33,251824.73
2.550719093500062,0.27203036715906764,0.0,-0.025190981724685757,0.0,-0.0825724285458414,350817.73,251850.01
2.6925315189035026,0.26961450284028393,0.0,-0.022594855436563473,0.0,-0.24546475915207158,350987.5,251920.14
2.7729278168022162,0.27627992181014704,0.0,-0.015214415826019047,0.0,-0.35116188496900597,351085.92,251920.14
0.9120574377486831,0.31266647093482225,0.0,0.0,0.0,-0.4226797272352164,352562.3,251920.14
2.9419987636880305,0.2744332955763525,0.0,-0.0068200079177601096,0.0,-0.49900376323703455,351184.35,251920.14
3.10498736484597,0.27949021759581977,0.0,0.0,0.0,-0.8584970357979604,351578.05,251920.14
1.1315902339333594,0.31292474113787827,0.0,0.0,0.0,-0.5023366361208608,352365.45,251920.14
3.1801099984675663,0.26785614577263167,0.0,0.0,0.0,-0.7783946095311834,351381.2,251920.14
0.9868232212943139,0.31956312983279195,0.0,0.0,0.0,-0.4576055874400967,352463.87,251920.14
3.1376301792763255,0.27264813188462544,0.0,0.0,0.0,-0.8955571960140661,351676.47,251920.14
3.111227857839809,0.2798475263325228,0.0,0.0,0.0,-0.8160234863634178,351479.62,251920.14
3.0693927349367103,0.271133107336101,0.0,0.0,0.0,-0.6627883708285877,351282.77,251920.14
2.566224256106195,0.2713068540086574,0.0,-0.03884530544728529,0.0,-0.11281824122171692,350889.07,251920.14
2.4559185836190363,0.28193650563221534,0.0,-0.042111800813632236,0.0,0.02619360930759323,350792.69,251922.22
0.8779858390409757,0.3147361237373205,0.0,0.0,0.0,-0.4280370811648431,352652.09,251922.35
2.3796949887841667,0.2897486460257804,0.0,-0.048846643091940145,0.0,0.06583235945325709,350717.12,251946.22
2.4933314549460746,0.28384086689242893,0.0,-0.05734962016861605,0.0,-0.05648592866263571,350889.07,252018.56
2.4152660138635045,0.28919786433924655,0.0,-0.05328182266749425,0.0,0.05528267885423235,350790.65,252018.56
2.639481782578672,0.27128503946907206,0.0,-0.041956596277660255,0.0,-0.18610930526802907,350987.5,252018.56
0.8646007241872117,0.3140949695088154,0.0,0.0,0.0,-0.4229877882598557,352562.3,252018.56
2.7055333479262256,0.2896713825389235,0.0,-0.03388610050094194,0.0,-0.28528042276643345,351085.92,252018.56
3.0842075792858115,0.2864020509119425,0.0,0.0,0.0,-0.8412619184547181,351578.05,252018.56
1.0041187734819643,0.31853012858648205,0.0,0.0,0.0,-0.47094148759697263,352365.45,252018.56
3.03309150961337,0.2979599885559023,0.0,0.0,0.0,-0.7376068448866401,351381.2,252018.56
0.8738986891693283,0.31273607793797303,0.0,0.0,0.0,-0.4239905047788366,352463.87,252018.56
3.0682794393136694,0.2815541519150458,0.0,0.0,0.0,-0.8841488754773437,351676.47,252018.56
3.1021392276506012,0.28487884766975896,0.0,0.0,0.0,-0.8037057161637654,351479.62,252018.56
3.0608864350737184,0.2959743512095171,0.0,-5.031672000614773e-05,0.0,-0.6470486816006717,351282.77,252018.56
2.8754064433610043,0.2939716586151789,0.0,-0.02791670402508959,0.0,-0.42645566225603276,351184.35,252018.56
0.8433447062722784,0.32259336785033743,0.0,0.0,0.0,-0.44633508364265495,352660.2,252019.0
2.3326245863415385,0.29051262961087504,0.0,-0.0555714531630811,0.0,0.07459848456589455,350693.49,252019.85
2.2822287622386757,0.28791184568629713,0.0,-0.06746258703755502,0.0,0.03940395642856114,350614.34,252043.15
0.9320538530193476,0.3400687885693038,0.0,0.0,0.0,-0.5102685802229512,352714.88,252045.39
2.2839703479073146,0.2970429655861215,0.0,-0.07417546431471618,0.0,0.006222727028587939,350692.22,252116.99
0.879259749867704,0.3402749119690688,0.0,0.0,0.0,-0.5061918198972795,352660.72,252116.99
2.3500527469710857,0.2938293805294499,0.0,-0.0645053829762751,0.0,0.05310763593963162,350790.65,252116.99
2.4239673261888823,0.29673772066230575,0.0,-0.057459502527983174,0.0,0.02157844420535472,350889.07,252116.99
2.5491022608653204,0.284821283489682,0.0,-0.05766660293600396,0.0,-0.10493785358544289,350987.5,252116.99
2.676794565525084,0.28774195127652535,0.0,-0.048424637013932306,0.0,-0.2502055769414011,351085.92,252116.99
3.0296290798107988,0.30322615812597525,0.0,-0.01865787980649937,0.0,-0.5828906086856243,351282.77,252116.99
3.018850213711817,0.2950577714151217,0.0,0.0,0.0,-0.8383379525054063,351578.05,252116.99
0.8298950046669152,0.3159037190658638,0.0,0.0,0.0,-0.44267392237054093,352562.3,252116.99
0.852163501363318,0.31783775549932963,0.0,0.0,0.0,-0.43394741603792536,352365.45,252116.99
1.7356159350301232,0.3022053686464856,0.0,0.0,0.0,-0.6313464638211378,352070.17,252116.99
3.0212121163888823,0.309291938257768,0.0,0.0,0.0,-0.7139141721089993,351381.2,252116.99
2.875699945596059,0.30173263001854767,0.0,-0.041721210252687185,0.0,-0.39256493447447194,351184.35,252116.99
0.8253103706199381,0.3176969457753827,0.0,0.0,0.0,-0.4307757925806025,352463.87,252116.99
2.084234836055455,0.2930491954852626,0.0,0.0,0.0,-0.7054295622413078,351971.75,252116.99
2.963062669936255,0.28844819416464296,0.0,0.0,0.0,-0.8517437243592473,351676.47,252116.99
3.0397055012993217,0.2957761383100152,0.0,0.0,0.0,-0.7729318791545292,351479.62,252116.99
2.241550766900299,0.2988509947920619,0.0,-0.07895058056170962,0.0,0.027402749651731607,350594.03,252117.23
0.998691398339167,0.3403286041530812,0.0,0.0,0.0,-0.549146904312861,352723.54,252123.93
2.2313815004893627,0.29605963507679284,0.0,-0.0797052152725566,0.0,0.055850349055757316,350513.72,252136.3
0.9376230896015896,0.3400810190263188,0.0,0.0,0.0,-0.5483954686452762,352660.72,252215.41
2.253344201146179,0.3047293381602077,0.0,-0.08479279222117998,0.0,0.006413188261025502,350692.22,252215.41
2.837236144902737,0.30291853411557396,0.0,-0.04565514642815941,0.0,-0.3397565160061104,351184.35,252215.41
2.9642406995371826,0.30989993779070846,0.0,-0.028421386168061027,0.0,-0.5065841435278462,351282.77,252215.41
2.250591729648223,0.2926480884648551,0.0,-0.09146376082427939,0.0,0.08121199287516723,350593.8,252215.41
2.3013608469025173,0.30902712051199677,0.0,-0.07879367577746557,0.0,-0.023969505991810892,350790.65,252215.41
2.9845396377722513,0.3168371819401906,0.0,0.0,0.0,-0.703559964923931,351381.2,252215.41
2.8742223397061832,0.30266181613066534,0.0,0.0,0.0,-0.8223341249620689,351578.05,252215.41
0.8956904252075606,0.3241721164523848,0.0,0.0,0.0,-0.48938541931006646,352562.3,252215.41
0.7688268082216967,0.31984220932212915,0.0,0.0,0.0,-0.43271992154255356,352365.45,252215.41
1.510589783602636,0.3093433028846594,0.0,0.0,0.0,-0.5934439877777477,352070.17,252215.41
2.6264477066486283,0.29479278524954966,0.0,-0.05586881690789598,0.0,-0.21809356895022178,351085.92,252215.41
0.7664725698808199,0.31501386861319264,0.0,0.0,0.0,-0.41932722134598205,352463.87,252215.41
0.989257705903948,0.326860116356874,0.0,0.0,0.0,-0.4832486061005057,352168.6,252215.41
1.8368789424056389,0.3090917055767026,0.0,0.0,0.0,-0.6818262663904711,351971.75,252215.41
2.887329308344788,0.29543034668935164,0.0,0.0,0.0,-0.8435688522900759,351676.47,252215.41
2.9950366341508694,0.3031263745955115,0.0,0.0,0.0,-0.7776261583343785,351479.62,252215.41
2.439916208388115,0.29834851717406796,0.0,-0.08229044837773565,0.0,-0.06492796353192695,350987.5,252215.41
2.3329030769334,0.31245163705781165,0.0,-0.08021352301447872,0.0,-0.003412959841729071,350889.07,252215.41
2.2089160759597344,0.28486657340514104,0.0,-0.1027934686383065,0.0,0.15489457645387103,350495.45,252215.49
1.2138631150538957,0.3311224865210729,0.0,0.0,0.0,-0.6062184602189076,352734.03,252219.16
2.207752863265334,0.2652456769034615,0.0,-0.11437487973191496,0.0,0.25349008590442346,350408.15,252233.2
2.164875992047053,0.2666029532525164,0.0,-0.124149987004973,0.0,0.33941577278687174,350336.96,252257.79
2.1682179708420097,0.27603807158638927,0.0,-0.13432391498371946,0.0,0.28962118305356055,350495.37,252313.84
2.2330108309543495,0.31456934196162983,0.0,-0.10353929330561915,0.0,0.011974598563761986,350790.65,252313.84
1.14926318019728,0.3304338009343457,0.0,0.0,0.0,-0.6058578410955433,352660.72,252313.84
2.8024528284215613,0.33884139656557966,0.0,-0.03814148635125078,0.0,-0.43438848842561867,351282.77,252313.84
2.207722940136863,0.3087645654834819,0.0,-0.10599566934093152,0.0,0.040684715018879034,350692.22,252313.84
2.808778934860616,0.31297510517915544,0.0,0.0,0.0,-0.8048900367375245,351578.05,252313.84
0.9006719757647418,0.3247294217998671,0.0,0.0,0.0,-0.519004276281434,352562.3,252313.84
0.7465279452549468,0.3132188790376871,0.0,0.0,0.0,-0.41297827145527927,352365.45,252313.84
1.1501856435181357,0.32836110855806505,0.0,0.0,0.0,-0.5233071474822447,352070.17,252313.84
2.069595009858905,0.3162556358581146,0.0,0.0,0.0,-0.7430097412575943,351873.32,252313.84
2.9281562597880053,0.3286887760362952,0.0,-0.006012186378193017,0.0,-0.6491049349806747,351381.2,252313.84
2.5027812202114283,0.3126832543284094,0.0,-0.08335787238644328,0.0,-0.18550085907853037,351085.92,252313.84
2.186303394120062,0.29299557424327005,0.0,-0.11909622266579234,0.0,0.18617660547274778,350593.8,252313.84
0.8224603936992562,0.3278850410818375,0.0,0.0,0.0,-0.48334579093109437,352463.87,252313.84
0.8693023770973352,0.32819488820486853,0.0,0.0,0.0,-0.4588417276563374,352168.6,252313.84
1.5519423617801398,0.32395499494559943,0.0,0.0,0.0,-0.6232374310097661,351971.75,252313.84
2.413347409935517,0.3135816460100453,0.0,0.0,0.0,-0.8166695665328134,351774.9,252313.84
2.689230108138005,0.30718940827435265,0.0,0.0,0.0,-0.8296889269523746,351676.47,252313.84
2.910276773400644,0.31421144609616003,0.0,0.0,0.0,-0.7668773405230732,351479.62,252313.84
2.676557146640473,0.3256247472621083,0.0,-0.06657017764791386,0.0,-0.3022194776787449,351184.35,252313.84
2.3740925561242516,0.31744231892205954,0.0,-0.08220165226891377,0.0,-0.0845798354602545,350987.5,252313.84
2.260431868750262,0.3254309119177183,0.0,-0.09476750506046948,0.0,-0.05822193726464089,350889.07,252313.84
2.189248148677537,0.2551869373688008,0.0,-0.14545544662499937,0.0,0.40275106660859555,350396.95,252313.84
1.5194870259043034,0.2989819800607513,0.0,0.0,0.0,-0.6851269901808231,352744.58,252316.38
2.1888302224890137,0.24198502426453256,0.0,-0.1537137978499127,-0.0012615679785843402,0.5073365111146187,350303.0,252319.81
2.203571974654073,0.2177607112428864,0.0,-0.15982766118955335,-0.006897204666873004,0.6377519190671359,350209.66,252342.55
2.1996818154554734,0.20790582200118235,0.0,-0.17017885139726543,0.0,0.6512528708792923,350133.56,252357.31
2.210990887893638,0.20079012678909072,0.0,-0.17811556679966484,0.0,0.7111298021706124,350045.43,252408.64
