GMST_trend,AMV_index,IPO_index,lat_abs,land_fraction,ocean_basin,member_id,POINT_X,POINT_Y
-0.003405136124140229,0.10873796174986618,0.07236432018230853,0.2959666424834979,2.88935542158697e-14,0.002462091158785734,-0.1265400434087929,201.25,-78.75
0.07839504284133653,0.005219958529260456,0.036143116606256395,-0.12835534242255095,8.867906409193438e-15,-0.002820353024642383,-0.0105508199582414,163.75,-76.25
0.08087728381113637,0.002474934871217036,0.03215625557929101,-0.07475422970684953,9.992007221626409e-15,0.0013020138655467084,-0.011987284097163224,166.25,-76.25
0.07540972124325056,0.005463970984968244,0.031288859377651405,0.01167298937151244,7.768091725424142e-15,0.018191800937166706,-0.012349198954581229,168.75,-76.25
0.08702773294015459,-0.0024915365037841593,0.034962725205859864,-0.0009397113860827866,-2.220446049250313e-15,0.010792044387808702,-0.012794801724355103,171.25,-76.25
0.08179846625462897,-0.0008343642533099692,0.03801709505605862,-0.02686327258238954,-6.938893903907228e-18,0.00613591906084375,-0.024660918538139932,173.75,-76.25
0.08697919545982351,-0.002248525684611835,0.0416572365910265,-0.047035229389562935,-2.220446049250313e-15,0.01037589494334263,-0.03285569312291553,176.25,-76.25
0.08770265035724979,-0.0010970413386402688,0.042939001509417395,-0.023106675199683936,2.1648264778018067e-15,-3.4555691641458e-14,-0.04086990025470886,178.75,-76.25
0.0886884784898554,0.004969360847780088,0.045981593023396376,-0.015248618308407867,2.0816681711721685e-16,-0.03927882770580965,-0.05443683114101794,181.25,-76.25
0.07389832936730266,0.023327437125820517,0.055096484382051954,0.031850908770152175,3.3306690738754696e-15,-0.040394821703504044,-0.07075199543319577,183.75,-76.25
0.07040930858697161,0.033035452294661,0.059788064464641535,0.026383031453981222,6.661338147750939e-15,-0.03496786321037937,-0.08357128218293317,186.25,-76.25
0.05338178054320053,0.046435212234709956,0.06542717735083968,0.08994749637873588,-6.661338147750939e-15,-0.025288624021738867,-0.09753220879700258,188.75,-76.25
0.03615065910111126,0.0677460558771868,0.06963981593551088,0.16135712204827724,-4.454769886308441e-15,-0.011707343380534474,-0.10918865972929885,191.25,-76.25
0.018524984965662378,0.08514289724016168,0.07266667784628061,0.21832974186907972,1.774969060619469e-14,-0.0009184452501562468,-0.11682876872655118,193.75,-76.25
0.010729388425515268,0.09356772670273965,0.07491545504968662,0.25509459954343744,2.665923037881157e-14,0.005504489731349399,-0.12063074134999668,196.25,-76.25
0.004029564469278185,0.1037210851184429,0.0755174260695333,0.289942288916614,2.6631474803195943e-14,0.013385658370383496,-0.12422265032271067,198.75,-76.25
0.0026820260960547515,0.1046485204980096,0.07451568495268458,0.3013983228754175,3.497202527569243e-14,0.0023454015336811795,-0.12274476282945555,201.25,-76.25
0.007831586041972483,0.09956172138882866,0.07507582651301842,0.3291352511519966,-6.63358257213531e-15,-0.0025664865138347592,-0.11843441975913473,203.75,-76.25
0.01769531670493457,0.09254414298647262,0.07611844655811448,0.3531531965309078,-2.220446049250313e-15,0.00010886950033919818,-0.10829631680511867,206.25,-76.25
0.027166803376359433,0.08448693606003861,0.08253991643747931,0.3351420411038714,-8.854028621385623e-15,-0.017075383433310276,-0.09706350302666245,208.75,-76.25
0.03741969934557557,0.07469991328914402,0.09301272824686758,0.28920078247039843,-8.881784197001252e-15,-0.04825482077805246,-0.08184455787835196,211.25,-76.25
0.046482227973225154,0.0647598395413334,0.10551764699547124,0.2181303737423965,0.0,-0.05487499282484268,-0.06594108845159642,213.75,-76.25
-0.010749274538101372,0.1069551511436432,0.11268639019294828,-0.26219808788159793,8.88872309090516e-15,0.025752733024330593,-0.05641014189207647,296.25,-76.25
0.0011800728806053012,0.09830616469557403,0.09162572694435941,-0.19768698620089087,-1.774969060619469e-14,0.028201444225331954,-0.07180909217673527,298.75,-76.25
0.012179417678782778,0.0859537581585058,0.07312966917227469,-0.13024463325434088,-1.7773976734858365e-14,0.03719023263909437,-0.08481932587711495,301.25,-76.25
0.025568203603460002,0.0717389227878557,0.05774510308825389,-0.029804417207078278,-1.7784385075714226e-14,0.03586415474935325,-0.09440359593826932,303.75,-76.25
0.03153440643384979,0.06554406620448447,0.040867475933903205,0.0035073502524495016,1.7767037840954458e-14,0.03189157350697015,-0.10945266369011744,306.25,-76.25
0.034136478043302866,0.06874846395061437,0.032051401729595135,0.05233877633921853,8.874845303097345e-15,0.03087849434109542,-0.11509285340256262,308.75,-76.25
0.036885882770141355,0.06445907445773037,0.03155278906341286,0.04970851550314057,-8.902600878712974e-15,-0.004141248544599366,-0.11463645844304107,311.25,-76.25
0.03989280676607155,0.058261721941439984,0.031579174785434705,0.10250227926505245,9.992007221626409e-15,-0.002059484380407102,-0.11653258474877119,313.75,-76.25
0.04443384185628156,0.05846061028804635,0.03408457333377207,0.14023110791674376,1.609823385706477e-14,-0.007375786427389751,-0.1173245815540318,316.25,-76.25
0.04980989584639395,0.06624577489286143,0.03916685017953983,0.17876936588788203,-4.551914400963142e-15,-1.9993728894718288e-13,-0.11212363106792284,318.75,-76.25
0.052876321022936545,0.08079495857745397,0.0435240233043359,0.20707377920676412,1.0547118733938987e-14,0.025248944453605315,-0.10837733251594756,321.25,-76.25
0.05993343358370529,0.08974933263101993,0.044915834816846426,0.2378612086548313,-9.43689570931383e-15,0.026354987781065098,-0.10633032296338506,323.75,-76.25
0.060009641851085135,0.10614774211011786,0.0453548188345892,0.2086235825213579,-3.275157922644212e-14,0.029058793688096163,-0.09810984581940665,326.25,-76.25
