OBJECTID,Location
18213,Residential
16224,Residential
724,Residential
8770,Residential
34932,Residential
8804,Jewlery_District
6568,Jewlery_District
4712,Jewlery_District
8457,Jewlery_District
20168,Jewlery_District
19495,Jewlery_District
782,Jewlery_District
16086,Jewlery_District
14797,Jewlery_District
13152,Jewlery_District
18327,Jewlery_District
16807,Jewlery_District
17520,Jewlery_District
12019,Jewlery_District
3647,Jewlery_District
7858,Jewlery_District
15770,Jewlery_District
17488,Jewlery_District
26753,Jewlery_District
6241,Jewlery_District
27288,Jewlery_District
19243,Jewlery_District
29194,Jewlery_District
9265,Jewlery_District
22145,Jewlery_District
32295,Jewlery_District
29192,Jewlery_District
28244,Jewlery_District
3407,Jewlery_District
6291,Jewlery_District
32421,Jewlery_District
29693,Jewlery_District
23459,Jewlery_District
9161,Jewlery_District
23746,Jewlery_District
14616,Jewlery_District
13213,Jewlery_District
14812,Jewlery_District
19572,Jewlery_District
32664,Jewlery_District
5426,Jewlery_District
28871,Jewlery_District
23178,Jewlery_District
11884,Jewlery_District
10371,Jewlery_District
14486,Jewlery_District
11924,Jewlery_District
20329,Jewlery_District
14701,Jewlery_District
1245,Jewlery_District
29344,Jewlery_District
16298,Jewlery_District
18630,Jewlery_District
14310,Jewlery_District
13306,Jewlery_District
30235,Jewlery_District
5288,Jewlery_District
29315,Jewlery_District
27843,Jewlery_District
21012,Jewlery_District
26498,Jewlery_District
31866,Jewlery_District
31988,Jewlery_District
23553,Jewlery_District
24377,Jewlery_District
26637,Jewlery_District
20274,Jewlery_District
25756,Jewlery_District
25472,Jewlery_District
7949,Jewlery_District
6619,Jewlery_District
33325,Jewlery_District
33537,Jewlery_District
29028,Jewlery_District
4011,Jewlery_District
17305,Jewlery_District
2064,Jewlery_District
9955,Jewlery_District
30577,Jewlery_District
23069,Jewlery_District
10024,Jewlery_District
26321,Jewlery_District
8375,Jewlery_District
22443,Jewlery_District
8015,Jewlery_District
26233,Jewlery_District
9037,Jewlery_District
4456,Jewlery_District
27349,Jewlery_District
17030,Jewlery_District
34117,Jewlery_District
17377,Jewlery_District
16717,Jewlery_District
3670,Jewlery_District
11858,Jewlery_District
30260,Jewlery_District
11989,Jewlery_District
3863,Jewlery_District
23497,Jewlery_District
6854,Jewlery_District
25219,Jewlery_District
30790,Jewlery_District
10181,Jewlery_District
15821,Jewlery_District
33999,Jewlery_District
31748,Jewlery_District
2049,Jewlery_District
64,Jewlery_District
21174,Jewlery_District
32418,Jewlery_District
7372,Jewlery_District
15444,Jewlery_District
21713,Jewlery_District
13519,Jewlery_District
15663,Jewlery_District
1694,Jewlery_District
23952,Jewlery_District
1066,Jewlery_District
9199,Jewlery_District
3079,Jewlery_District
12419,Jewlery_District
25514,Jewlery_District
8849,Jewlery_District
17081,Jewlery_District
30727,Jewlery_District
19364,Jewlery_District
7978,Jewlery_District
31729,Jewlery_District
5387,Jewlery_District
34156,Jewlery_District
33446,Jewlery_District
11861,Jewlery_District
23425,Jewlery_District
34591,Jewlery_District
30596,Jewlery_District
16435,Jewlery_District
6934,Jewlery_District
2412,Jewlery_District
31315,Jewlery_District
2317,Jewlery_District
637,Jewlery_District
26766,Jewlery_District
33815,Jewlery_District
24926,Jewlery_District
16754,Jewlery_District
3997,Jewlery_District
23717,Jewlery_District
26838,Jewlery_District
6178,Jewlery_District
34555,Jewlery_District
33253,Jewlery_District
17461,Jewlery_District
5072,Jewlery_District
16133,Jewlery_District
29880,Jewlery_District
10556,Jewlery_District
15061,Jewlery_District
35008,Jewlery_District
5116,Jewlery_District
14621,Jewlery_District
21874,Jewlery_District
16907,Jewlery_District
33954,Jewlery_District
32650,Jewlery_District
6362,Jewlery_District
22883,Jewlery_District
33194,Jewlery_District
16851,Jewlery_District
13522,Jewlery_District
32924,Jewlery_District
3372,Jewlery_District
2474,Jewlery_District
26272,Jewlery_District
27197,Jewlery_District
26083,Jewlery_District
23729,Jewlery_District
7728,Jewlery_District
6190,Jewlery_District
9787,Jewlery_District
35915,Jewlery_District
19476,Jewlery_District
13692,Jewlery_District
10445,Jewlery_District
10998,Jewlery_District
33093,Jewlery_District
24938,Jewlery_District
15742,Jewlery_District
12777,Jewlery_District
25686,Jewlery_District
21873,Jewlery_District
31589,Jewlery_District
10953,Jewlery_District
3027,Jewlery_District
9969,Jewlery_District
9728,Jewlery_District
30315,Jewlery_District
83,Jewlery_District
26228,Jewlery_District
25225,Jewlery_District
2067,Jewlery_District
10116,Jewlery_District
17830,Jewlery_District
6029,Jewlery_District
9267,Jewlery_District
1369,Jewlery_District
6870,Jewlery_District
30106,Jewlery_District
11309,Jewlery_District
32570,Jewlery_District
31178,Jewlery_District
